               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  39,            0.029726,            0.024851,                   0,             0.92364,              0.9073,             0.95339,             0.70275,            0.024966,              0.0197,                   0,            0.007492,            0.007492,            0.007492
                  40,            0.030445,            0.027196,                   0,             0.89946,             0.89477,             0.94927,              0.6657,            0.023964,            0.019416,                   0,            0.007426,            0.007426,            0.007426
                  41,            0.029323,            0.026976,                   0,             0.94727,             0.89822,             0.95656,             0.68954,            0.024655,            0.019396,                   0,             0.00736,             0.00736,             0.00736
                  42,            0.027823,            0.026602,                   0,             0.97071,               0.875,             0.95272,              0.6467,            0.026634,             0.01946,                   0,            0.007294,            0.007294,            0.007294
                  43,             0.02691,            0.026668,                   0,             0.94704,             0.89426,             0.95172,             0.64051,            0.025074,            0.019388,                   0,            0.007228,            0.007228,            0.007228
                  44,            0.027516,            0.023663,                   0,             0.97204,             0.86933,              0.9424,             0.66864,            0.025023,            0.019916,                   0,            0.007162,            0.007162,            0.007162
                  45,             0.02923,            0.028156,                   0,             0.94436,                 0.9,             0.94618,             0.70533,            0.022049,            0.019532,                   0,            0.007096,            0.007096,            0.007096
                  46,            0.026394,            0.026214,                   0,             0.94303,                 0.9,             0.94279,             0.67953,            0.026136,            0.019861,                   0,             0.00703,             0.00703,             0.00703
                  47,            0.027769,            0.027776,                   0,             0.97201,              0.8682,             0.93217,             0.67042,            0.022896,            0.019947,                   0,            0.006964,            0.006964,            0.006964
                  48,            0.026485,             0.02547,                   0,             0.97207,             0.87011,             0.93244,             0.70031,            0.023171,            0.020021,                   0,            0.006898,            0.006898,            0.006898
                  49,            0.025998,            0.025231,                   0,             0.97215,             0.87274,             0.93482,             0.64699,            0.024246,            0.019817,                   0,            0.006832,            0.006832,            0.006832
                  50,            0.025857,            0.025167,                   0,             0.97221,              0.8745,             0.93283,             0.64207,            0.026092,             0.01963,                   0,            0.006766,            0.006766,            0.006766
                  51,            0.026347,            0.025305,                   0,             0.94574,             0.87163,             0.93161,              0.6866,             0.02188,            0.019187,                   0,              0.0067,              0.0067,              0.0067
                  52,            0.025302,            0.024743,                   0,             0.97215,             0.87271,             0.93432,             0.70804,            0.021993,            0.020156,                   0,            0.006634,            0.006634,            0.006634
                  53,            0.024785,            0.026438,                   0,             0.95345,               0.875,             0.93115,             0.68997,            0.022199,            0.020016,                   0,            0.006568,            0.006568,            0.006568
                  54,            0.025159,            0.024835,                   0,             0.96185,                 0.9,             0.93117,             0.68132,            0.021107,            0.019587,                   0,            0.006502,            0.006502,            0.006502
                  55,            0.025358,            0.025256,                   0,             0.97081,                 0.9,             0.92641,             0.70417,            0.020834,             0.01969,                   0,            0.006436,            0.006436,            0.006436
                  56,              0.0244,             0.02347,                   0,             0.96912,                 0.9,             0.92588,              0.7055,            0.022653,            0.019771,                   0,             0.00637,             0.00637,             0.00637
                  57,            0.024014,            0.023955,                   0,             0.96931,                 0.9,             0.92634,             0.69049,            0.021067,            0.019593,                   0,            0.006304,            0.006304,            0.006304
                  58,            0.023685,            0.024201,                   0,             0.96858,                 0.9,             0.92713,             0.67987,            0.021453,            0.020227,                   0,            0.006238,            0.006238,            0.006238
                  59,            0.023228,            0.025649,                   0,             0.97124,                 0.9,             0.92855,             0.67254,            0.025114,            0.020061,                   0,            0.006172,            0.006172,            0.006172
                  60,            0.025306,            0.024532,                   0,             0.97294,             0.89902,             0.93377,             0.67361,              0.0243,            0.020468,                   0,            0.006106,            0.006106,            0.006106
                  61,            0.023285,            0.022629,                   0,             0.96983,               0.875,             0.94052,             0.69281,              0.0219,            0.019965,                   0,             0.00604,             0.00604,             0.00604
                  62,            0.022944,            0.023635,                   0,              0.9729,             0.89742,             0.94216,             0.69983,            0.022954,             0.01993,                   0,            0.005974,            0.005974,            0.005974
                  63,             0.02237,            0.023114,                   0,             0.97013,               0.875,             0.94646,             0.67693,            0.021722,             0.02053,                   0,            0.005908,            0.005908,            0.005908
                  64,             0.02312,            0.024762,                   0,             0.97293,             0.89853,              0.9473,             0.69948,            0.021017,            0.020679,                   0,            0.005842,            0.005842,            0.005842
                  65,            0.022692,            0.022306,                   0,             0.97291,             0.89776,              0.9357,             0.70599,            0.020899,            0.020471,                   0,            0.005776,            0.005776,            0.005776
                  66,            0.022697,            0.023874,                   0,             0.97283,                 0.9,             0.94402,             0.70494,            0.019731,             0.02094,                   0,             0.00571,             0.00571,             0.00571
                  67,            0.022392,            0.023101,                   0,             0.96959,                 0.9,             0.94035,             0.66416,            0.021523,            0.020796,                   0,            0.005644,            0.005644,            0.005644
                  68,            0.022321,             0.02238,                   0,             0.96971,                 0.9,             0.94659,             0.72378,            0.020629,            0.020041,                   0,            0.005578,            0.005578,            0.005578
                  69,            0.019827,            0.023703,                   0,             0.97035,                 0.9,             0.94664,             0.75276,            0.020369,            0.019411,                   0,            0.005512,            0.005512,            0.005512
                  70,            0.021344,            0.022356,                   0,             0.97104,                 0.9,             0.94687,             0.74552,            0.020019,            0.019079,                   0,            0.005446,            0.005446,            0.005446
                  71,            0.020204,            0.023652,                   0,             0.97288,             0.89705,             0.94473,             0.72417,            0.020577,            0.020214,                   0,             0.00538,             0.00538,             0.00538
                  72,            0.021635,            0.023445,                   0,             0.97002,               0.875,             0.94258,             0.70087,            0.021597,            0.020453,                   0,            0.005314,            0.005314,            0.005314
                  73,            0.018925,            0.021828,                   0,             0.96888,               0.875,             0.94466,             0.71996,            0.022858,             0.02034,                   0,            0.005248,            0.005248,            0.005248
                  74,            0.021645,             0.02134,                   0,             0.97284,             0.89553,             0.93406,             0.70619,            0.021446,             0.02113,                   0,            0.005182,            0.005182,            0.005182
                  75,            0.021647,            0.024487,                   0,             0.97295,             0.89925,             0.93475,             0.64812,            0.020882,            0.020308,                   0,            0.005116,            0.005116,            0.005116
                  76,             0.02063,            0.021905,                   0,             0.97289,              0.8973,             0.93978,             0.72089,            0.020929,             0.02004,                   0,             0.00505,             0.00505,             0.00505
                  77,            0.019808,            0.023417,                   0,               0.969,               0.875,             0.93733,             0.71541,            0.020337,            0.020227,                   0,            0.004984,            0.004984,            0.004984
                  78,            0.021225,            0.022098,                   0,             0.97053,               0.875,             0.93635,             0.71382,            0.020522,            0.020359,                   0,            0.004918,            0.004918,            0.004918
                  79,            0.020626,             0.02377,                   0,             0.97023,               0.875,             0.93558,             0.73594,            0.017942,            0.019923,                   0,            0.004852,            0.004852,            0.004852
                  80,            0.020043,            0.021803,                   0,             0.96928,               0.875,             0.93288,              0.7366,            0.017567,            0.020552,                   0,            0.004786,            0.004786,            0.004786
                  81,            0.017705,            0.023474,                   0,             0.96932,               0.875,             0.93731,             0.68145,            0.020018,            0.020433,                   0,             0.00472,             0.00472,             0.00472
                  82,            0.019997,            0.021771,                   0,             0.97287,              0.8966,             0.93747,               0.707,            0.020702,            0.019843,                   0,            0.004654,            0.004654,            0.004654
                  83,            0.019701,            0.022204,                   0,             0.96974,                 0.9,             0.94259,             0.74437,             0.01829,            0.020054,                   0,            0.004588,            0.004588,            0.004588
                  84,            0.019947,             0.02199,                   0,             0.97884,                 0.9,             0.95684,              0.7508,            0.018495,            0.019696,                   0,            0.004522,            0.004522,            0.004522
                  85,            0.017538,            0.023251,                   0,             0.96988,                 0.9,             0.93585,             0.67959,            0.023198,            0.020355,                   0,            0.004456,            0.004456,            0.004456
                  86,            0.020482,            0.023028,                   0,             0.97049,                 0.9,             0.93137,             0.66199,            0.021103,            0.021078,                   0,             0.00439,             0.00439,             0.00439
                  87,            0.019321,            0.021368,                   0,             0.96859,                 0.9,             0.94504,             0.72684,            0.018654,            0.020885,                   0,            0.004324,            0.004324,            0.004324
                  88,            0.019123,            0.021427,                   0,              0.9659,                 0.9,              0.9436,             0.71242,            0.020094,            0.021314,                   0,            0.004258,            0.004258,            0.004258
                  89,            0.017503,            0.021301,                   0,             0.97234,                 0.9,             0.94677,              0.7338,            0.019813,            0.020887,                   0,            0.004192,            0.004192,            0.004192
                  90,            0.019099,            0.021727,                   0,             0.97217,                 0.9,             0.94506,             0.72634,            0.019543,             0.02048,                   0,            0.004126,            0.004126,            0.004126
                  91,            0.018105,            0.022521,                   0,             0.97288,                 0.9,             0.93653,             0.71902,            0.019741,            0.020935,                   0,             0.00406,             0.00406,             0.00406
                  92,            0.018235,            0.020185,                   0,             0.97217,                 0.9,             0.95393,              0.7286,            0.018304,            0.020363,                   0,            0.003994,            0.003994,            0.003994
                  93,            0.016499,            0.021614,                   0,              0.9698,                 0.9,             0.95794,              0.7177,            0.019599,            0.020199,                   0,            0.003928,            0.003928,            0.003928
                  94,            0.018466,            0.021246,                   0,             0.97046,                 0.9,             0.94947,             0.70936,            0.019339,            0.020978,                   0,            0.003862,            0.003862,            0.003862
                  95,            0.017632,            0.021727,                   0,             0.97035,                 0.9,             0.94876,             0.71922,            0.018133,            0.020684,                   0,            0.003796,            0.003796,            0.003796
                  96,            0.017415,            0.020173,                   0,             0.97036,                 0.9,             0.93772,              0.7058,            0.018835,            0.021538,                   0,             0.00373,             0.00373,             0.00373
                  97,              0.0166,            0.022049,                   0,             0.97001,                 0.9,             0.93287,             0.72046,            0.019091,            0.020923,                   0,            0.003664,            0.003664,            0.003664
                  98,            0.017354,            0.020018,                   0,             0.97003,                 0.9,             0.93255,             0.71279,            0.019034,            0.020956,                   0,            0.003598,            0.003598,            0.003598
                  99,             0.01649,            0.020065,                   0,             0.96989,                 0.9,              0.9406,             0.71811,            0.019813,            0.021626,                   0,            0.003532,            0.003532,            0.003532
                 100,            0.018049,            0.019951,                   0,             0.96867,                 0.9,             0.94226,             0.72076,            0.019448,            0.021692,                   0,            0.003466,            0.003466,            0.003466
                 101,            0.016902,            0.020186,                   0,             0.96946,                 0.9,             0.93391,             0.71143,            0.018728,            0.021601,                   0,              0.0034,              0.0034,              0.0034
                 102,            0.016978,            0.021181,                   0,             0.96839,                 0.9,             0.94409,              0.7094,            0.018577,            0.021483,                   0,            0.003334,            0.003334,            0.003334
                 103,            0.015526,            0.019385,                   0,             0.97297,             0.89974,             0.94834,             0.73096,            0.017835,            0.021353,                   0,            0.003268,            0.003268,            0.003268
                 104,            0.016883,            0.019186,                   0,             0.97217,             0.87347,             0.94505,             0.72827,            0.017702,            0.021504,                   0,            0.003202,            0.003202,            0.003202
                 105,            0.018296,            0.020388,                   0,             0.97213,             0.87209,             0.95266,             0.71961,            0.018499,            0.021953,                   0,            0.003136,            0.003136,            0.003136
                 106,            0.016938,            0.020822,                   0,             0.97213,             0.87224,             0.95893,             0.72601,            0.018263,            0.021057,                   0,             0.00307,             0.00307,             0.00307
                 107,            0.015266,            0.020059,                   0,             0.96647,                 0.9,             0.95978,             0.73542,            0.017653,            0.020314,                   0,            0.003004,            0.003004,            0.003004
                 108,            0.015959,            0.020756,                   0,             0.97361,             0.92252,              0.9628,             0.72571,            0.018366,             0.02033,                   0,            0.002938,            0.002938,            0.002938
                 109,            0.014955,            0.019649,                   0,             0.97353,             0.91969,             0.95818,             0.74246,            0.017947,            0.020225,                   0,            0.002872,            0.002872,            0.002872
                 110,              0.0157,            0.020072,                   0,             0.97354,             0.91995,             0.95892,             0.74207,             0.01798,            0.020785,                   0,            0.002806,            0.002806,            0.002806
                 111,            0.015725,            0.019556,                   0,             0.97348,             0.91783,             0.95895,             0.72971,             0.01784,            0.020337,                   0,             0.00274,             0.00274,             0.00274
                 112,            0.016111,            0.021383,                   0,             0.97161,                 0.9,             0.95703,             0.73822,            0.017754,            0.020629,                   0,            0.002674,            0.002674,            0.002674
                 113,            0.016253,            0.019779,                   0,             0.97227,                 0.9,             0.94791,             0.73916,            0.017299,             0.02063,                   0,            0.002608,            0.002608,            0.002608
                 114,               0.015,              0.0196,                   0,             0.97296,             0.89944,             0.94863,             0.73674,            0.017577,            0.021001,                   0,            0.002542,            0.002542,            0.002542
                 115,            0.015031,            0.018722,                   0,             0.96861,                 0.9,             0.95109,             0.73893,            0.017069,            0.021163,                   0,            0.002476,            0.002476,            0.002476
                 116,            0.015518,             0.02065,                   0,             0.97235,                 0.9,             0.95431,              0.7406,             0.01721,             0.02056,                   0,             0.00241,             0.00241,             0.00241
                 117,            0.014826,            0.018728,                   0,             0.97294,             0.89888,             0.95378,             0.72188,            0.017545,            0.020817,                   0,            0.002344,            0.002344,            0.002344
                 118,            0.015001,             0.01917,                   0,             0.97293,             0.89843,             0.95427,             0.72961,            0.017132,            0.020388,                   0,            0.002278,            0.002278,            0.002278
                 119,            0.014788,            0.021567,                   0,             0.97296,             0.89951,             0.95815,             0.74974,            0.017071,            0.020323,                   0,            0.002212,            0.002212,            0.002212
                 120,            0.015296,            0.019655,                   0,              0.9729,             0.89743,             0.95839,             0.74769,             0.01696,            0.019817,                   0,            0.002146,            0.002146,            0.002146
                 121,            0.014849,            0.019287,                   0,             0.94411,               0.925,             0.95831,             0.75284,            0.016657,            0.019784,                   0,             0.00208,             0.00208,             0.00208
                 122,            0.014816,            0.019774,                   0,              0.9421,               0.925,             0.95602,              0.7484,            0.017216,            0.019864,                   0,            0.002014,            0.002014,            0.002014
                 123,            0.014181,            0.019214,                   0,             0.94393,               0.925,             0.95604,             0.75049,            0.017343,            0.020212,                   0,            0.001948,            0.001948,            0.001948
                 124,            0.014312,            0.019251,                   0,             0.97292,             0.89817,             0.95764,             0.74628,            0.017209,            0.020658,                   0,            0.001882,            0.001882,            0.001882
                 125,             0.01441,            0.018355,                   0,             0.97283,             0.89516,             0.95553,             0.74946,            0.017518,            0.020703,                   0,            0.001816,            0.001816,            0.001816
                 126,            0.015132,            0.018817,                   0,             0.97286,             0.89627,             0.95394,             0.74426,            0.017258,            0.021073,                   0,             0.00175,             0.00175,             0.00175
                 127,            0.013919,            0.017443,                   0,              0.9728,             0.89411,             0.95349,             0.74396,            0.017514,            0.021049,                   0,            0.001684,            0.001684,            0.001684
                 128,            0.013999,            0.018304,                   0,             0.97222,             0.87485,             0.95079,             0.73819,            0.017154,            0.021161,                   0,            0.001618,            0.001618,            0.001618
                 129,            0.014243,             0.01812,                   0,             0.97128,               0.875,             0.95005,             0.73341,            0.017048,            0.021202,                   0,            0.001552,            0.001552,            0.001552
                 130,            0.013694,            0.018594,                   0,             0.97134,               0.875,             0.94908,             0.73929,            0.017257,            0.021335,                   0,            0.001486,            0.001486,            0.001486
                 131,            0.013899,            0.020393,                   0,             0.97041,               0.875,               0.952,             0.74278,               0.017,            0.021454,                   0,             0.00142,             0.00142,             0.00142
                 132,            0.013919,            0.019687,                   0,              0.9729,             0.89773,             0.95364,             0.73105,            0.017196,            0.021223,                   0,            0.001354,            0.001354,            0.001354
                 133,             0.01427,             0.01983,                   0,             0.97293,             0.89854,              0.9526,             0.75601,            0.016816,            0.020974,                   0,            0.001288,            0.001288,            0.001288
                 134,            0.013697,            0.020212,                   0,             0.97294,             0.89887,              0.9523,             0.75185,            0.016709,            0.021147,                   0,            0.001222,            0.001222,            0.001222
                 135,            0.014119,            0.019784,                   0,             0.97295,             0.89939,             0.95796,             0.75303,            0.016696,            0.020815,                   0,            0.001156,            0.001156,            0.001156
                 136,            0.013654,            0.020078,                   0,             0.97297,             0.89988,             0.95764,             0.73878,            0.016493,             0.02054,                   0,             0.00109,             0.00109,             0.00109
                 137,            0.014068,            0.020112,                   0,             0.97269,                 0.9,             0.95471,              0.7467,            0.016727,             0.02051,                   0,            0.001024,            0.001024,            0.001024
                 138,            0.013627,            0.019803,                   0,             0.97297,             0.89998,               0.952,             0.73809,            0.016546,            0.020656,                   0,            0.000958,            0.000958,            0.000958
                 139,             0.01375,            0.018619,                   0,             0.97294,             0.89892,             0.95201,             0.73807,            0.016428,            0.020918,                   0,            0.000892,            0.000892,            0.000892
                 140,            0.013531,            0.019515,                   0,             0.97291,             0.89799,             0.95015,             0.73581,            0.016367,            0.021078,                   0,            0.000826,            0.000826,            0.000826
                 141,            0.013504,            0.018231,                   0,             0.96946,               0.875,             0.95127,             0.73961,            0.016638,            0.021418,                   0,             0.00076,             0.00076,             0.00076
                 142,             0.01333,            0.018441,                   0,             0.96958,               0.875,             0.95155,             0.74451,            0.016664,            0.021378,                   0,            0.000694,            0.000694,            0.000694
                 143,            0.013324,             0.01859,                   0,             0.96977,               0.875,             0.95125,             0.74292,            0.016616,            0.021189,                   0,            0.000628,            0.000628,            0.000628
                 144,            0.013434,            0.019721,                   0,             0.97288,             0.89705,             0.95205,             0.73919,            0.016534,             0.02098,                   0,            0.000562,            0.000562,            0.000562
                 145,            0.013742,            0.017769,                   0,              0.9729,             0.89745,             0.95313,             0.73669,            0.016695,            0.020919,                   0,            0.000496,            0.000496,            0.000496
                 146,            0.013725,            0.019479,                   0,             0.97291,             0.89793,             0.95436,             0.74062,            0.016764,            0.020929,                   0,             0.00043,             0.00043,             0.00043
                 147,            0.013067,            0.018164,                   0,             0.97291,             0.89807,             0.95365,             0.74321,            0.016808,            0.020898,                   0,            0.000364,            0.000364,            0.000364
                 148,            0.013317,            0.018299,                   0,             0.97292,             0.89827,             0.95399,             0.74127,            0.016842,            0.020885,                   0,            0.000298,            0.000298,            0.000298
                 149,             0.01358,            0.019046,                   0,             0.97292,              0.8984,             0.95464,              0.7415,            0.016743,            0.020745,                   0,            0.000232,            0.000232,            0.000232
